img_id,cls_id,fold
00001.jpg,14,3
00002.jpg,3,0
00003.jpg,91,0
00004.jpg,134,1
00005.jpg,106,2
00006.jpg,123,4
00007.jpg,89,1
00008.jpg,96,3
00009.jpg,167,3
00010.jpg,58,0
00011.jpg,49,3
00012.jpg,186,4
00013.jpg,135,3
00014.jpg,85,4
00015.jpg,193,0
00016.jpg,172,1
00017.jpg,14,1
00018.jpg,73,4
00019.jpg,192,2
00020.jpg,57,0
00021.jpg,79,1
00022.jpg,36,4
00023.jpg,120,1
00024.jpg,170,1
00025.jpg,194,4
00026.jpg,134,4
00027.jpg,184,3
00028.jpg,86,2
00029.jpg,180,4
00030.jpg,194,2
00031.jpg,154,2
00032.jpg,139,4
00033.jpg,66,1
00034.jpg,133,3
00035.jpg,154,3
00036.jpg,104,4
00037.jpg,38,3
00038.jpg,97,3
00039.jpg,105,0
00040.jpg,142,3
00041.jpg,13,3
00042.jpg,191,2
00043.jpg,119,2
00044.jpg,38,3
00045.jpg,186,0
00046.jpg,25,2
00047.jpg,194,3
00048.jpg,177,0
00049.jpg,173,0
00050.jpg,42,3
00051.jpg,91,2
00052.jpg,148,1
00053.jpg,15,4
00054.jpg,97,3
00055.jpg,42,1
00056.jpg,53,1
00057.jpg,44,1
00058.jpg,65,3
00059.jpg,90,1
00060.jpg,124,4
00061.jpg,114,0
00062.jpg,190,2
00063.jpg,101,0
00064.jpg,187,0
00065.jpg,8,2
00066.jpg,17,1
00067.jpg,111,3
00068.jpg,122,0
00069.jpg,5,4
00070.jpg,29,4
00071.jpg,126,0
00072.jpg,94,1
00073.jpg,106,4
00074.jpg,106,1
00075.jpg,188,0
00076.jpg,59,1
00077.jpg,110,4
00078.jpg,43,0
00079.jpg,133,3
00080.jpg,111,2
00081.jpg,8,0
00082.jpg,192,2
00083.jpg,18,3
00084.jpg,116,0
00085.jpg,49,0
00086.jpg,145,2
00087.jpg,49,1
00088.jpg,170,0
00089.jpg,20,1
00090.jpg,114,3
00091.jpg,165,2
00092.jpg,138,0
00093.jpg,175,3
00094.jpg,112,3
00095.jpg,122,2
00096.jpg,104,1
00097.jpg,57,4
00098.jpg,51,0
00099.jpg,37,1
00100.jpg,71,0
00101.jpg,193,2
00102.jpg,105,1
00103.jpg,61,0
00104.jpg,74,3
00105.jpg,133,3
00106.jpg,162,1
00107.jpg,131,3
00108.jpg,88,2
00109.jpg,121,2
00110.jpg,180,1
00111.jpg,180,3
00112.jpg,137,3
00113.jpg,133,4
00114.jpg,71,2
00115.jpg,83,0
00116.jpg,110,1
00117.jpg,42,0
00118.jpg,177,0
00119.jpg,147,4
00120.jpg,161,0
00121.jpg,109,3
00122.jpg,28,0
00123.jpg,144,3
00124.jpg,53,4
00125.jpg,29,0
00126.jpg,66,2
00127.jpg,79,0
00128.jpg,13,0
00129.jpg,136,0
00130.jpg,143,1
00131.jpg,171,1
00132.jpg,89,3
00133.jpg,135,0
00134.jpg,161,3
00135.jpg,58,4
00136.jpg,122,2
00137.jpg,178,2
00138.jpg,56,2
00139.jpg,184,2
00140.jpg,191,0
00141.jpg,40,0
00142.jpg,60,3
00143.jpg,155,0
00144.jpg,71,3
00145.jpg,140,1
00146.jpg,42,3
00147.jpg,76,3
00148.jpg,187,3
00149.jpg,86,0
00150.jpg,8,3
00151.jpg,5,4
00152.jpg,47,2
00153.jpg,30,2
00154.jpg,18,1
00155.jpg,149,0
00156.jpg,174,1
00157.jpg,138,4
00158.jpg,179,2
00159.jpg,24,1
00160.jpg,42,2
00161.jpg,73,3
00162.jpg,176,1
00163.jpg,1,0
00164.jpg,37,4
00165.jpg,36,4
00166.jpg,108,0
00167.jpg,41,1
00168.jpg,40,3
00169.jpg,119,1
00170.jpg,119,1
00171.jpg,19,1
00172.jpg,163,2
00173.jpg,120,1
00174.jpg,54,2
00175.jpg,116,4
00176.jpg,66,0
00177.jpg,50,0
00178.jpg,122,1
00179.jpg,155,4
00180.jpg,142,1
00181.jpg,68,4
00182.jpg,170,0
00183.jpg,161,1
00184.jpg,161,4
00185.jpg,133,1
00186.jpg,125,2
00187.jpg,160,2
00188.jpg,93,4
00189.jpg,183,0
00190.jpg,45,4
00191.jpg,143,4
00192.jpg,189,0
00193.jpg,48,2
00194.jpg,176,0
00195.jpg,77,4
00196.jpg,190,2
00197.jpg,110,4
00198.jpg,6,2
00199.jpg,191,2
00200.jpg,16,0
00201.jpg,12,4
00202.jpg,90,0
00203.jpg,188,0
00204.jpg,128,4
00205.jpg,23,3
00206.jpg,11,3
00207.jpg,93,4
00208.jpg,8,3
00209.jpg,63,1
00210.jpg,173,4
00211.jpg,176,0
00212.jpg,72,0
00213.jpg,195,0
00214.jpg,114,1
00215.jpg,72,2
00216.jpg,119,2
00217.jpg,18,4
00218.jpg,77,3
00219.jpg,18,1
00220.jpg,107,4
00221.jpg,10,3
00222.jpg,196,3
00223.jpg,99,3
00224.jpg,88,2
00225.jpg,121,3
00226.jpg,111,0
00227.jpg,61,4
00228.jpg,141,4
00229.jpg,136,4
00230.jpg,183,3
00231.jpg,106,2
00232.jpg,84,0
00233.jpg,194,3
00234.jpg,132,2
00235.jpg,111,0
00236.jpg,7,1
00237.jpg,65,2
00238.jpg,26,2
00239.jpg,16,0
00240.jpg,138,0
00241.jpg,170,4
00242.jpg,102,4
00243.jpg,168,3
00244.jpg,7,0
00245.jpg,61,0
00246.jpg,167,0
00247.jpg,137,1
00248.jpg,177,3
00249.jpg,153,2
00250.jpg,190,0
00251.jpg,167,2
00252.jpg,105,1
00253.jpg,50,4
00254.jpg,131,3
00255.jpg,6,2
00256.jpg,21,1
00257.jpg,31,4
00258.jpg,51,0
00259.jpg,187,0
00260.jpg,134,1
00261.jpg,16,4
00262.jpg,103,0
00263.jpg,40,4
00264.jpg,69,2
00265.jpg,55,2
00266.jpg,17,0
00267.jpg,46,4
00268.jpg,74,3
00269.jpg,185,4
00270.jpg,122,3
00271.jpg,174,4
00272.jpg,100,2
00273.jpg,69,3
00274.jpg,20,3
00275.jpg,130,0
00276.jpg,132,4
00277.jpg,173,4
00278.jpg,156,0
00279.jpg,47,4
00280.jpg,107,2
00281.jpg,151,4
00282.jpg,61,1
00283.jpg,105,2
00284.jpg,94,3
00285.jpg,194,3
00286.jpg,195,0
00287.jpg,91,4
00288.jpg,189,2
00289.jpg,15,0
00290.jpg,140,3
00291.jpg,142,2
00292.jpg,10,4
00293.jpg,104,0
00294.jpg,48,3
00295.jpg,50,0
00296.jpg,120,3
00297.jpg,87,0
00298.jpg,177,0
00299.jpg,147,0
00300.jpg,169,3
00301.jpg,121,2
00302.jpg,19,0
00303.jpg,31,0
00304.jpg,156,2
00305.jpg,143,0
00306.jpg,83,1
00307.jpg,58,2
00308.jpg,6,2
00309.jpg,127,1
00310.jpg,131,3
00311.jpg,15,4
00312.jpg,73,3
00313.jpg,24,3
00314.jpg,87,3
00315.jpg,170,3
00316.jpg,123,2
00317.jpg,158,4
00318.jpg,11,4
00319.jpg,47,3
00320.jpg,7,0
00321.jpg,94,2
00322.jpg,75,4
00323.jpg,182,0
00324.jpg,186,4
00325.jpg,128,0
00326.jpg,193,1
00327.jpg,180,2
00328.jpg,62,1
00329.jpg,114,4
00330.jpg,166,1
00331.jpg,181,4
00332.jpg,101,4
00333.jpg,103,2
00334.jpg,22,2
00335.jpg,125,0
00336.jpg,112,4
00337.jpg,38,1
00338.jpg,106,2
00339.jpg,56,3
00340.jpg,9,4
00341.jpg,67,0
00342.jpg,169,1
00343.jpg,147,2
00344.jpg,145,2
00345.jpg,113,4
00346.jpg,63,0
00347.jpg,145,2
00348.jpg,55,4
00349.jpg,89,0
00350.jpg,86,0
00351.jpg,42,3
00352.jpg,143,1
00353.jpg,117,1
00354.jpg,57,3
00355.jpg,170,4
00356.jpg,115,3
00357.jpg,39,2
00358.jpg,29,2
00359.jpg,58,3
00360.jpg,70,2
00361.jpg,119,2
00362.jpg,50,0
00363.jpg,128,2
00364.jpg,53,1
00365.jpg,53,4
00366.jpg,32,0
00367.jpg,177,1
00368.jpg,59,4
00369.jpg,128,0
00370.jpg,10,0
00371.jpg,83,2
00372.jpg,168,4
00373.jpg,172,2
00374.jpg,6,1
00375.jpg,176,1
00376.jpg,135,3
00377.jpg,133,0
00378.jpg,156,2
00379.jpg,54,1
00380.jpg,99,2
00381.jpg,125,1
00382.jpg,146,4
00383.jpg,58,1
00384.jpg,59,4
00385.jpg,141,2
00386.jpg,56,2
00387.jpg,63,3
00388.jpg,131,2
00389.jpg,48,3
00390.jpg,160,3
00391.jpg,166,3
00392.jpg,4,2
00393.jpg,195,1
00394.jpg,147,2
00395.jpg,131,1
00396.jpg,165,0
00397.jpg,23,0
00398.jpg,40,3
00399.jpg,26,0
00400.jpg,181,3
00401.jpg,88,4
00402.jpg,17,0
00403.jpg,110,2
00404.jpg,180,2
00405.jpg,10,4
00406.jpg,75,3
00407.jpg,59,2
00408.jpg,19,2
00409.jpg,189,1
00410.jpg,5,0
00411.jpg,14,3
00412.jpg,176,3
00413.jpg,80,3
00414.jpg,86,3
00415.jpg,55,0
00416.jpg,112,3
00417.jpg,50,0
00418.jpg,57,4
00419.jpg,73,3
00420.jpg,99,0
00421.jpg,152,0
00422.jpg,162,0
00423.jpg,85,3
00424.jpg,5,2
00425.jpg,7,4
00426.jpg,194,1
00427.jpg,117,2
00428.jpg,179,3
00429.jpg,73,0
00430.jpg,185,0
00431.jpg,187,4
00432.jpg,163,0
00433.jpg,164,2
00434.jpg,171,1
00435.jpg,64,2
00436.jpg,51,0
00437.jpg,99,1
00438.jpg,26,3
00439.jpg,49,1
00440.jpg,107,0
00441.jpg,115,2
00442.jpg,190,1
00443.jpg,143,2
00444.jpg,79,0
00445.jpg,180,1
00446.jpg,24,2
00447.jpg,162,2
00448.jpg,178,3
00449.jpg,180,2
00450.jpg,15,3
00451.jpg,189,1
00452.jpg,108,2
00453.jpg,121,3
00454.jpg,49,0
00455.jpg,194,0
00456.jpg,42,3
00457.jpg,118,4
00458.jpg,108,1
00459.jpg,84,4
00460.jpg,182,3
00461.jpg,179,1
00462.jpg,1,3
00463.jpg,89,0
00464.jpg,133,2
00465.jpg,187,1
00466.jpg,178,0
